City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dingle,PH,2022-05-08 17:54:10,10.9995,122.6711,78.53,86,46,8.16
1,Dhidhdhoo,MV,2022-05-08 17:54:10,6.8833,73.1,85.23,73,99,17.2
2,Airai,TL,2022-05-08 17:54:11,-8.9266,125.4092,58.42,90,57,3.53
3,Amapa,BR,2022-05-08 17:54:11,1.0,-52.0,77.9,94,100,3.2
4,Kyra,RU,2022-05-08 17:54:12,49.5776,111.9753,50.61,36,79,6.24
5,Mataura,NZ,2022-05-08 17:54:13,-46.1927,168.8643,50.49,97,88,1.7
6,Vaini,TO,2022-05-08 17:54:14,-21.2,-175.2,73.56,88,20,6.91
7,New Norfolk,AU,2022-05-08 17:54:14,-42.7826,147.0587,42.71,78,22,2.44
8,Carballo,ES,2022-05-08 17:54:15,43.213,-8.691,80.02,68,34,3.02
9,Shchigry,RU,2022-05-08 17:54:16,51.8755,36.9043,60.62,79,78,7.27
10,Ancud,CL,2022-05-08 17:54:16,-41.8697,-73.8203,54.63,73,26,7.23
11,Mitsamiouli,KM,2022-05-08 17:54:17,-11.3847,43.2844,79.09,89,20,4.61
12,Acapulco,MX,2022-05-08 17:53:43,16.8634,-99.8901,86.18,57,9,9.26
13,Tasiilaq,GL,2022-05-08 17:54:18,65.6145,-37.6368,36.23,69,100,6.31
14,Brigantine,US,2022-05-08 17:54:19,39.4101,-74.3646,49.19,73,100,33.46
15,Ruyigi,BI,2022-05-08 17:54:19,-3.45,30.3167,60.67,91,74,3.8
16,Nabire,ID,2022-05-08 17:54:20,-3.3667,135.4833,77.83,91,90,2.15
17,Atuona,PF,2022-05-08 17:49:58,-9.8,-139.0333,78.69,73,41,16.46
18,Mahebourg,MU,2022-05-08 17:54:21,-20.4081,57.7,75.49,83,40,5.75
19,Yellowknife,CA,2022-05-08 17:53:35,62.456,-114.3525,32.56,74,100,26.46
20,Kavieng,PG,2022-05-08 17:54:21,-2.5744,150.7967,83.26,72,97,17.81
21,Khorixas,NA,2022-05-08 17:54:22,-20.3667,14.9667,73.24,23,0,9.08
22,Georgetown,MY,2022-05-08 17:50:59,5.4112,100.3354,82.33,92,20,3.44
23,Coquimbo,CL,2022-05-08 17:50:49,-29.9533,-71.3436,62.33,67,100,6.91
24,Awbari,LY,2022-05-08 17:54:23,26.5921,12.7805,78.44,14,0,9.51
25,Asau,RO,2022-05-08 17:54:24,46.4333,26.4,59.92,59,99,1.83
26,Mirabad,AF,2022-05-08 17:54:24,30.4362,61.8383,91.54,17,15,15.01
27,Quatre Cocos,MU,2022-05-08 17:54:25,-20.2078,57.7625,75.31,85,26,10.76
28,Sistranda,NO,2022-05-08 17:54:25,63.7256,8.834,44.56,65,99,11.9
29,Yulara,AU,2022-05-08 17:54:26,-25.2406,130.9889,53.44,37,100,8.05
30,Cape Town,ZA,2022-05-08 17:50:03,-33.9258,18.4232,60.28,78,0,6.91
31,Puerto Ayora,EC,2022-05-08 17:49:53,-0.7393,-90.3518,80.56,80,10,12.44
32,Guerrero Negro,MX,2022-05-08 17:54:27,27.9769,-114.0611,66.29,58,10,16.96
33,Upernavik,GL,2022-05-08 17:52:59,72.7868,-56.1549,21.56,69,93,6.42
34,Pisco,PE,2022-05-08 17:54:28,-13.7,-76.2167,72.01,73,0,8.05
35,Tynda,RU,2022-05-08 17:54:29,55.1667,124.7167,40.24,48,99,3.13
36,Albany,US,2022-05-08 17:50:44,42.6001,-73.9662,63.43,30,71,1.01
37,Aguilas,ES,2022-05-08 17:54:30,37.4063,-1.5829,69.24,50,57,3.67
38,Nantucket,US,2022-05-08 17:54:30,41.2835,-70.0995,50.14,57,75,34.52
39,Alice Springs,AU,2022-05-08 17:52:24,-23.7,133.8833,42.35,56,100,3.44
40,Mount Isa,AU,2022-05-08 17:54:31,-20.7333,139.5,65.97,63,29,8.05
41,Mar Del Plata,AR,2022-05-08 17:54:32,-38.0023,-57.5575,73.94,62,0,26.46
42,Beringovskiy,RU,2022-05-08 17:54:32,63.05,179.3167,29.59,88,81,10.27
43,Northam,GB,2022-05-08 17:54:33,51.0333,-4.2167,60.62,74,69,6.51
44,Sambalpur,IN,2022-05-08 17:54:34,21.45,83.9667,82.26,58,85,14.5
45,Thompson,CA,2022-05-08 17:54:34,55.7435,-97.8558,48.36,81,75,14.97
46,Rikitea,PF,2022-05-08 17:55:35,-23.1203,-134.9692,76.73,77,49,23.15
47,Bat Khela,PK,2022-05-08 17:55:35,34.6167,71.9714,81.5,17,0,7.11
48,Riyadh,SA,2022-05-08 17:52:51,24.6877,46.7219,86.14,13,0,15.73
49,Durango,MX,2022-05-08 17:51:12,24.8333,-104.8333,83.89,8,17,4.21
50,Iqaluit,CA,2022-05-08 17:55:36,63.7506,-68.5145,28.13,68,20,4.61
51,Saint-Joseph,RE,2022-05-08 17:55:37,-21.3667,55.6167,71.98,81,26,7.43
52,Tiksi,RU,2022-05-08 17:55:37,71.6872,128.8694,-0.24,99,55,4.14
53,Ambulu,ID,2022-05-08 17:55:38,-8.345,113.6058,76.66,93,91,3.29
54,Narsaq,GL,2022-05-08 17:55:39,60.9167,-46.05,40.37,75,100,4.27
55,Butaritari,KI,2022-05-08 17:55:39,3.0707,172.7902,81.45,80,26,16.58
56,Marawi,PH,2022-05-08 17:55:40,7.9986,124.2928,70.61,96,100,0.43
57,Clyde River,CA,2022-05-08 17:55:41,70.4692,-68.5914,25.03,86,100,13.8
58,Hermanus,ZA,2022-05-08 17:55:41,-34.4187,19.2345,55.8,78,54,5.35
59,Badulla,LK,2022-05-08 17:55:42,6.9895,81.0557,73.4,76,100,5.7
60,Marsh Harbour,BS,2022-05-08 17:55:42,26.5412,-77.0636,79.81,71,0,12.01
61,Omsukchan,RU,2022-05-08 17:55:43,62.5333,155.8,12.22,93,23,4.65
62,Ushuaia,AR,2022-05-08 17:55:44,-54.8,-68.3,44.26,61,40,41.43
63,Arraial Do Cabo,BR,2022-05-08 17:55:44,-22.9661,-42.0278,75.16,73,40,6.91
64,Punta Arenas,CL,2022-05-08 17:55:45,-53.15,-70.9167,46.51,57,40,27.63
65,Grand Gaube,MU,2022-05-08 17:55:46,-20.0064,57.6608,75.6,78,4,5.01
66,Mullovka,RU,2022-05-08 17:55:47,54.2,49.4,55.22,50,0,1.83
67,Khatanga,RU,2022-05-08 17:55:47,71.9667,102.5,4.57,97,20,9.31
68,Falam,MM,2022-05-08 17:55:48,22.9167,93.6833,62.31,93,61,2.37
69,Buckeye,US,2022-05-08 17:55:48,33.3703,-112.5838,89.19,15,0,13.8
70,Hasaki,JP,2022-05-08 17:55:49,35.7333,140.8333,61.2,52,100,13.31
71,Kapaa,US,2022-05-08 17:55:50,22.0752,-159.319,75.52,85,100,11.5
72,Kahului,US,2022-05-08 17:55:50,20.8947,-156.47,76.84,84,65,11.01
73,Provideniya,RU,2022-05-08 17:55:51,64.3833,-173.3,31.1,96,99,6.51
74,Port-Gentil,GA,2022-05-08 17:55:51,-0.7193,8.7815,82.36,83,40,9.22
75,Cidreira,BR,2022-05-08 17:55:52,-30.1811,-50.2056,68.31,70,0,13.98
76,Vila Velha,BR,2022-05-08 17:55:52,-20.3297,-40.2925,76.95,78,75,18.41
77,Hilo,US,2022-05-08 17:55:53,19.7297,-155.09,87.28,94,74,5.01
78,Buala,SB,2022-05-08 17:55:53,-8.145,159.5921,79.84,86,98,8.28
79,Tuktoyaktuk,CA,2022-05-08 17:55:54,69.4541,-133.0374,35.6,75,75,14.97
80,Tura,IN,2022-05-08 17:55:55,25.5198,90.2201,75.88,66,38,3.38
81,Bluff,NZ,2022-05-08 17:55:56,-46.6,168.3333,50.81,88,74,3.89
82,Bredasdorp,ZA,2022-05-08 17:54:19,-34.5322,20.0403,55.47,86,86,3.96
83,Innisfail,AU,2022-05-08 17:55:56,-17.5333,146.0333,74.17,90,81,6.4
84,Saint-Georges,GD,2022-05-08 17:55:57,12.0564,-61.7485,85.68,70,40,21.85
85,Tilichiki,RU,2022-05-08 17:55:58,60.4667,166.1,25.57,90,97,3.2
86,Saskylakh,RU,2022-05-08 17:55:58,71.9167,114.0833,8.71,94,75,12.55
87,Souillac,MU,2022-05-08 17:51:20,-20.5167,57.5167,75.58,83,40,5.75
88,Bauchi,NG,2022-05-08 17:55:59,10.5,10.0,92.61,32,100,5.41
89,Celestun,MX,2022-05-08 17:56:00,20.8667,-90.4,92.28,54,0,6.44
90,Vila Do Maio,CV,2022-05-08 17:57:00,15.1333,-23.2167,77.79,81,18,15.48
91,Chokurdakh,RU,2022-05-08 17:57:01,70.6333,147.9167,8.6,89,98,6.53
92,Kaoma,ZM,2022-05-08 17:57:02,-14.7833,24.8,68.86,53,33,3.58
93,Chunhuhub,MX,2022-05-08 17:57:02,19.55,-88.6833,100.44,31,18,5.1
94,Carnarvon,AU,2022-05-08 17:57:03,-24.8667,113.6333,62.67,88,0,5.75
