City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
179,Anzoategui,4.63,-75.0954,75.4,76,70,4.52,CO,2022-05-08 19:45:16,broken clouds
180,Shibetsu,43.659,145.132,39.58,74,0,5.23,JP,2022-05-08 19:45:16,clear sky
181,Ulaangom,49.9811,92.0667,37.15,35,99,12.91,MN,2022-05-08 19:45:17,overcast clouds
182,Awbari,26.5921,12.7805,73.27,17,0,8.59,LY,2022-05-08 19:45:18,clear sky
183,Narsaq,60.9167,-46.05,40.44,77,100,3.6,GL,2022-05-08 19:45:18,overcast clouds
184,Scottsbluff,41.8666,-103.6672,69.78,39,100,18.41,US,2022-05-08 19:45:19,overcast clouds
185,Tomatlan,19.9333,-105.25,87.67,49,7,11.27,MX,2022-05-08 19:45:19,clear sky
186,Bara,10.3744,10.7288,91.78,44,60,9.04,NG,2022-05-08 19:45:20,broken clouds
187,Soyo,-6.1349,12.3689,78.39,90,24,6.73,AO,2022-05-08 19:45:20,few clouds
188,Berlevag,70.8578,29.0864,32.0,74,0,12.66,NO,2022-05-08 19:45:21,clear sky
189,Tambacounda,13.7539,-13.7586,98.65,21,0,4.61,SN,2022-05-08 19:45:22,clear sky
190,Shelburne,44.0787,-80.2041,61.3,37,1,11.99,CA,2022-05-08 19:45:22,clear sky
191,Loreto,22.2667,-101.9667,87.91,12,97,9.26,MX,2022-05-08 19:45:23,overcast clouds
192,Vila Do Maio,15.1333,-23.2167,75.99,82,33,15.79,CV,2022-05-08 19:45:23,scattered clouds
193,Nikolskoye,59.7035,30.7861,41.72,89,84,5.41,RU,2022-05-08 19:45:24,broken clouds
194,Uusikaupunki,60.8004,21.4084,38.17,69,16,8.14,FI,2022-05-08 19:45:25,few clouds
195,Natal,-5.795,-35.2094,83.05,78,75,18.41,BR,2022-05-08 19:43:26,broken clouds
196,Yar-Sale,66.8333,70.8333,35.47,100,100,10.51,RU,2022-05-08 19:45:03,overcast clouds
197,Campoverde,-8.4753,-74.8058,89.29,55,90,4.16,PE,2022-05-08 19:45:26,overcast clouds
198,Padang,-0.9492,100.3543,78.42,82,99,3.65,ID,2022-05-08 19:45:26,overcast clouds
199,Natchitoches,31.7668,-93.1335,90.45,62,40,10.36,US,2022-05-08 19:45:27,scattered clouds
200,Koumac,-20.5667,164.2833,72.34,72,100,5.23,NC,2022-05-08 19:45:28,overcast clouds
201,Fukue,32.6881,128.8419,63.52,71,53,18.19,JP,2022-05-08 19:45:28,broken clouds
202,Yuncheng,35.0231,110.9928,48.97,81,100,3.62,CN,2022-05-08 19:45:29,overcast clouds
203,Henties Bay,-22.116,14.2845,60.53,66,0,7.09,NA,2022-05-08 19:43:47,clear sky
204,Letterkenny,54.95,-7.7333,64.29,85,100,7.85,IE,2022-05-08 19:45:30,overcast clouds
205,Hermanus,-34.4187,19.2345,51.8,74,95,4.07,ZA,2022-05-08 19:45:30,overcast clouds
206,Eureka,40.8021,-124.1637,50.61,83,99,8.99,US,2022-05-08 19:41:52,light rain
207,Williams Lake,52.1415,-122.1445,56.05,31,75,4.0,CA,2022-05-08 19:45:31,broken clouds
208,Alamosa,37.4695,-105.87,71.58,12,0,23.02,US,2022-05-08 19:45:32,clear sky
209,Evensk,61.95,159.2333,30.33,90,93,2.06,RU,2022-05-08 19:45:32,overcast clouds
210,Mataura,-46.1927,168.8643,49.48,97,98,0.98,NZ,2022-05-08 19:35:37,overcast clouds
211,Katakwi,1.8911,33.9661,66.58,91,100,5.84,UG,2022-05-08 19:45:33,light rain
212,Sola,-13.8833,167.55,80.1,76,68,24.2,VU,2022-05-08 19:45:34,broken clouds
213,Belyy Yar,53.6039,91.3903,31.86,47,0,2.24,RU,2022-05-08 19:45:35,clear sky
214,Isabela,6.7085,121.9711,78.93,86,100,1.36,PH,2022-05-08 19:45:35,moderate rain
215,Aklavik,68.2191,-135.0107,46.4,53,40,8.05,CA,2022-05-08 19:45:36,scattered clouds
216,Gewane,10.1664,40.6453,88.88,28,46,3.96,ET,2022-05-08 19:45:37,scattered clouds
217,Ohara,35.25,140.3833,60.37,66,100,11.41,JP,2022-05-08 19:45:37,overcast clouds
218,Naze,28.3667,129.4833,68.92,95,100,7.83,JP,2022-05-08 19:45:38,overcast clouds
